Motor Vehicle Collisions Intersections
Manhattan
May        2014
Collisions Data
OccurrencePrecinctCode;CollisionID;CollisionKey;Collision_ at_Intersection;IntersectionAddress;IntersectingStreet;CrossStreet;CollisionVehicleCount;CollisionInjuredCount;CollisionKilledCount;Vehicles_or_MotoristsInvolved;PersonsInjured;PersonsKilled;MotoristsInjured;MotoristsKilled;PassengInjured;PassengKilled;CyclistsInjured;CyclistsKilled;PedestrInjured;PedestrKilled;Injury_or_Fatal;Bicycle
001;2014001001016 ;136617030;1;2 PLACE&&LITTLE WEST 12 STREET;LITTLE WEST 12 STREET;2 PLACE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001037 ;136658120;1;6 AVENUE&&CANAL STREET;6 AVENUE;CANAL STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001201 ;136937922;2;6 AVENUE&&CANAL STREET;CANAL STREET;6 AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001062 ;136694224;1;6 AVENUE&&GRAND STREET;6 AVENUE;GRAND STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001236 ;137007003;1;6 AVENUE&&LISPENARD STREET;6 AVENUE;LISPENARD STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001001 ;136578824;1;6 AVENUE&&SPRING STREET;6 AVENUE;SPRING STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001212 ;136951817;2;6 AVENUE&&SPRING STREET;SPRING STREET;6 AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001051 ;136685187;1;6 AVENUE&&WATTS STREET;WATTS STREET;6 AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001065 ;136694227;2;6 AVENUE&&WATTS STREET;WATTS STREET;6 AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001000972 ;136542751;1;6 AVENUE&&WEST HOUSTON STREET;6 AVENUE;WEST HOUSTON STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001003 ;136578826;1;6 AVENUE&&WHITE STREET;6 AVENUE;WHITE STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001153 ;136847436;1;6 AVENUE&&YORK STREET;6 AVENUE;YORK STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
