Motor Vehicle Collisions Intersections
Manhattan
July       2014
Collisions Data
OccurrencePrecinctCode;CollisionID;CollisionKey;Collision_ at_Intersection;IntersectionAddress;IntersectingStreet;CrossStreet;CollisionVehicleCount;CollisionInjuredCount;CollisionKilledCount;Vehicles_or_MotoristsInvolved;PersonsInjured;PersonsKilled;MotoristsInjured;MotoristsKilled;PassengInjured;PassengKilled;CyclistsInjured;CyclistsKilled;PedestrInjured;PedestrKilled;Injury_or_Fatal;Bicycle
001;2014001001724 ;137809554;1;6 AVENUE&&BROOME STREET;6 AVENUE;BROOME STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001662 ;137690301;1;6 AVENUE&&CANAL STREET;6 AVENUE;CANAL STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001805 ;137942715;2;6 AVENUE&&CANAL STREET;CANAL STREET;6 AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001796 ;137925176;1;6 AVENUE&&GRAND STREET;6 AVENUE;GRAND STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001739 ;137849789;1;6 AVENUE&&KING STREET;KING STREET;6 AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001830 ;137997498;1;6 AVENUE&&SPRING STREET;6 AVENUE;SPRING STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001799 ;137925179;1;ALBANY STREET&&GREENWICH STREET;ALBANY STREET;GREENWICH STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001755 ;137868084;1;ALBANY STREET&&WASHINGTON STREET;ALBANY STREET;WASHINGTON STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001594 ;137556771;1;ALBANY STREET&&WEST STREET;WEST STREET;ALBANY STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001626 ;137623016;2;ALBANY STREET&&WEST STREET;WEST STREET;ALBANY STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001647 ;137662965;3;ALBANY STREET&&WEST STREET;WEST STREET;ALBANY STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001731 ;137830090;4;ALBANY STREET&&WEST STREET;WEST STREET;ALBANY STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001781 ;137905290;5;ALBANY STREET&&WEST STREET;ALBANY STREET;WEST STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001589 ;137536087;1;ANN STREET&&NASSAU STREET;NASSAU STREET;ANN STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001670 ;137691838;1;AVENUE OF AMERICAS&&CANAL STREET;CANAL STREET;AVENUE OF AMERICAS;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001614 ;137605149;1;AVENUE OF THE AMERICAS&&CANAL STREET;AVENUE OF THE AMERICAS;CANAL STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001831 ;137997499;2;AVENUE OF THE AMERICAS&&CANAL STREET;CANAL STREET;AVENUE OF THE AMERICAS;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001601 ;137556778;1;AVENUE OF THE AMERICAS&&CHARLTON STREET;AVENUE OF THE AMERICAS;CHARLTON STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001607 ;137590329;1;AVENUE OF THE AMERICAS&&DOMINICK STREET;AVENUE OF THE AMERICAS;DOMINICK STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001695 ;137758995;1;AVENUE OF THE AMERICAS&&GRAND STREET;AVENUE OF THE AMERICAS;GRAND STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1
001;2014001001685 ;137739282;1;AVENUE OF THE AMERICAS&&SPRING STREET;AVENUE OF THE AMERICAS;SPRING STREET;2;1;0;2;1;0;0;0;0;0;1;0;0;0;1;1
