Motor Vehicle Collisions Intersections
Manhattan
August     2014
Collisions Data
OccurrencePrecinctCode;CollisionID;CollisionKey;Collision_ at_Intersection;IntersectionAddress;IntersectingStreet;CrossStreet;CollisionVehicleCount;CollisionInjuredCount;CollisionKilledCount;Vehicles_or_MotoristsInvolved;PersonsInjured;PersonsKilled;MotoristsInjured;MotoristsKilled;PassengInjured;PassengKilled;CyclistsInjured;CyclistsKilled;PedestrInjured;PedestrKilled;Injury_or_Fatal;Bicycle
001;2014001002128 ;138470793;1;6 AVENUE&&BROOME STREET;6 AVENUE;BROOME STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001854 ;138035314;1;6 AVENUE&&CANAL STREET;CANAL STREET;6 AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001918 ;138133050;2;6 AVENUE&&CANAL STREET;CANAL STREET;6 AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001947 ;138153102;3;6 AVENUE&&CANAL STREET;CANAL STREET;6 AVENUE;2;1;0;2;1;0;1;0;0;0;0;0;0;0;1;0
001;2014001002072 ;138361237;4;6 AVENUE&&CANAL STREET;CANAL STREET;6 AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001867 ;138054771;1;6 AVENUE&&CHARLTON STREET;CHARLTON STREET;6 AVENUE;3;1;0;3;1;0;0;0;0;0;1;0;0;0;1;1
001;2014001002129 ;138470794;2;6 AVENUE&&CHARLTON STREET;CHARLTON STREET;6 AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001984 ;138227211;1;6 AVENUE&&GRAND STREET;6 AVENUE;GRAND STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002059 ;138351519;1;6 AVENUE&&SPRING STREET;6 AVENUE;SPRING STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001856 ;138035316;1;6 AVENUE&&WATTS STREET;WATTS STREET;6 AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001923 ;138134711;2;6 AVENUE&&WATTS STREET;WATTS STREET;6 AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001864 ;138054768;1;ALBANY STREET&&SOUTH END AVENUE;ALBANY STREET;SOUTH END AVENUE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001961 ;138171210;2;ALBANY STREET&&SOUTH END AVENUE;SOUTH END AVENUE;ALBANY STREET;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001966 ;138190482;1;ALBANY STREET&&WEST STREET;WEST STREET;ALBANY STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001970 ;138190486;2;ALBANY STREET&&WEST STREET;WEST STREET;ALBANY STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001971 ;138190487;3;ALBANY STREET&&WEST STREET;ALBANY STREET;WEST STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002001 ;138244390;4;ALBANY STREET&&WEST STREET;ALBANY STREET;WEST STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002007 ;138246203;5;ALBANY STREET&&WEST STREET;WEST STREET;ALBANY STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002013 ;138253121;6;ALBANY STREET&&WEST STREET;WEST STREET;ALBANY STREET;2;1;0;2;1;0;1;0;0;0;0;0;0;0;1;0
001;2014001002043 ;138320764;7;ALBANY STREET&&WEST STREET;WEST STREET;ALBANY STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002118 ;138445939;8;ALBANY STREET&&WEST STREET;WEST STREET;ALBANY STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002124 ;138461989;1;ANN STREET&&GOLD STREET;GOLD STREET;ANN STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001930 ;138142574;1;ANN STREET&&NASSAU STREET;NASSAU STREET;ANN STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002134 ;138470799;2;ANN STREET&&NASSAU STREET;NASSAU STREET;ANN STREET;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0
001;2014001002027 ;138280852;1;ANN STREET&&WILLIAM STREET;ANN STREET;WILLIAM STREET;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002039 ;138300907;1;AVENUE OF THE AMERICAS&&BROOME STREET;AVENUE OF THE AMERICAS;BROOME STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001931 ;138142575;1;AVENUE OF THE AMERICAS&&CANAL STREET;CANAL STREET;AVENUE OF THE AMERICAS;1;1;0;1;1;0;0;0;0;0;0;0;1;0;1;0
001;2014001001992 ;138227219;2;AVENUE OF THE AMERICAS&&CANAL STREET;AVENUE OF THE AMERICAS;CANAL STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002065 ;138352413;3;AVENUE OF THE AMERICAS&&CANAL STREET;CANAL STREET;AVENUE OF THE AMERICAS;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002121 ;138445942;4;AVENUE OF THE AMERICAS&&CANAL STREET;CANAL STREET;AVENUE OF THE AMERICAS;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001896 ;138095824;1;AVENUE OF THE AMERICAS&&GRAND STREET;GRAND STREET;AVENUE OF THE AMERICAS;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002112 ;138427739;1;AVENUE OF THE AMERICAS&&LISPENARD STREET;AVENUE OF THE AMERICAS;LISPENARD STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002103 ;138427730;1;AVENUE OF THE AMERICAS&&VANDAM STREET;AVENUE OF THE AMERICAS;VANDAM STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001996 ;138227223;1;AVENUE OF THE AMERICAS&&WALKER STREET;WALKER STREET;AVENUE OF THE AMERICAS;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002051 ;138337090;1;AVENUE OF THE AMERICAS&&WEST HOUSTON STREET;WEST HOUSTON STREET;AVENUE OF THE AMERICAS;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001967 ;138190483;1;BARCLAY STREET&&WASHINGTON STREET;BARCLAY STREET;WASHINGTON STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001839 ;138015443;1;BARCLAY STREET&&WEST STREET;BARCLAY STREET;WEST STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001935 ;138142579;2;BARCLAY STREET&&WEST STREET;WEST STREET;BARCLAY STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002023 ;138280848;3;BARCLAY STREET&&WEST STREET;BARCLAY STREET;WEST STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001905 ;138114725;1;BATTERY PLACE&&BROADWAY;BROADWAY;BATTERY PLACE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002026 ;138280851;1;BATTERY PLACE&&STATE STREET;BATTERY PLACE;STATE STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001932 ;138142576;1;BATTERY PLACE&&WASHINGTON STREET;BATTERY PLACE;WASHINGTON STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001941 ;138144106;2;BATTERY PLACE&&WASHINGTON STREET;WASHINGTON STREET;BATTERY PLACE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001884 ;138074684;1;BATTERY PLACE&&WEST STREET;WEST STREET;BATTERY PLACE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001903 ;138114723;2;BATTERY PLACE&&WEST STREET;BATTERY PLACE;WEST STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002113 ;138445934;3;BATTERY PLACE&&WEST STREET;BATTERY PLACE;WEST STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002014 ;138253122;1;BATTERY PLACE&&WEST THAMES STREET;WEST THAMES STREET;BATTERY PLACE;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002016 ;138254882;2;BATTERY PLACE&&WEST THAMES STREET;BATTERY PLACE;WEST THAMES STREET;2;1;0;2;1;0;0;0;0;0;1;0;0;0;1;1
001;2014001002031 ;138280856;1;BEACH STREET&&HUDSON STREET;BEACH STREET;HUDSON STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002073 ;138361238;2;BEACH STREET&&HUDSON STREET;HUDSON STREET;BEACH STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002117 ;138445938;3;BEACH STREET&&HUDSON STREET;HUDSON STREET;BEACH STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001862 ;138054766;1;BEACH STREET&&VARICK STREET;BEACH STREET;VARICK STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002012 ;138253120;2;BEACH STREET&&VARICK STREET;VARICK STREET;BEACH STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002146 ;138480739;3;BEACH STREET&&VARICK STREET;VARICK STREET;BEACH STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001874 ;138074674;1;BEACH STREET&&WALKER STREET;BEACH STREET;WALKER STREET;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001917 ;138133049;1;BEAVER STREET&&BROAD STREET;BEAVER STREET;BROAD STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001890 ;138095818;1;BEAVER STREET&&BROADWAY;BROADWAY;BEAVER STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001897 ;138095825;1;BEAVER STREET&&WILLIAM STREET;BEAVER STREET;WILLIAM STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001876 ;138074676;1;BEEKMAN STREET&&FRONT STREET;BEEKMAN STREET;FRONT STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001842 ;138015446;1;BEEKMAN STREET&&GOLD STREET;GOLD STREET;BEEKMAN STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001002041 ;138320762;1;BEEKMAN STREET&&WILLIAM STREET;WILLIAM STREET;BEEKMAN STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
001;2014001001955 ;138171204;1;BROAD STREET&&PEARL STREET;BROAD STREET;PEARL STREET;2;1;0;2;1;0;0;0;0;0;1;0;0;0;1;1
001;2014001001910 ;138123316;1;BROAD STREET&&SOUTH STREET;BROAD STREET;SOUTH STREET;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
