Player Name,Date,Statistic,Variable,Value
Cameron Champ,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),78
Rory McIlroy,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),72
Luke List,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),66
Dustin Johnson,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),73
Wyndham Clark,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),87
Bubba Watson,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),65
Seth Reeves,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),73
Trey Mullinax,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),77
Tony Finau,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),89
Cameron Davis,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),76
Brooks Koepka,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),81
Jhonattan Vegas,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),75
Gary Woodland,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),87
Sam Burns,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),80
Byeong Hun An,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),80
J.B. Holmes,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),78
Jason Kokrak,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),94
Ollie Schniederjans,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),77
Phil Mickelson,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),63
Jon Rahm,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),75
Patrick Cantlay,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),77
Sepp Straka,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),78
Brandon Harkins,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),91
Xander Schauffele,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),77
Martin Trainer,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),63
Kevin Tway,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),84
Alex Prugh,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),77
Keith Mitchell,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),86
Justin Rose,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),66
Rickie Fowler,2019-08-25,Driving Distance,Driving Distance - (ROUNDS),76
